
"Geography","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020"
"","Persons",,,,
"Newfoundland and Labrador","524,137","523,631","522,994","522,103","520,998"
"Prince Edward Island","158,334","158,629","159,249","159,625","159,713"
"Nova Scotia","975,231","975,898","977,043","979,351","979,115"
"New Brunswick","780,154","780,040","781,024","781,476","781,315"
"Quebec","8,540,429","8,556,650","8,572,054","8,574,571","8,575,779"
"Ontario","14,637,880","14,689,075","14,723,497","14,734,014","14,733,119"
"Manitoba","1,373,574","1,377,004","1,378,818","1,379,263","1,379,584"
"Saskatchewan","1,176,272","1,179,154","1,179,618","1,178,681","1,177,884"
"Alberta","4,384,968","4,402,045","4,417,006","4,421,876","4,428,112"
"British Columbia","5,125,659","5,131,575","5,142,404","5,147,712","5,145,851"
"Yukon","41,668","41,731","41,980","42,052","42,176"
"Northwest Territories","45,100","45,119","45,201","45,161","45,074"
"Nunavut","38,637","38,726","38,966","39,353","39,285"
